Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
All students,Science,65,53,1354
White,Science,71,74,1354
Hispanic,Science,50,40,1354
All students,Math,24,37,6003
Hispanic,Math,24,24,6003
White,Math,23,53,6003
All students,English,26,48,6003
Hispanic,English,23,37,6003
White,English,31,64,6003
All students,Science,40,53,6003
Hispanic,Science,36,40,6003
White,Science,55,74,6003
All students,Math,85,37,11833
White,Math,86,53,11833
Hispanic,Math,64,24,11833
Asian,Math,93,72,11833
All students,English,87,48,11833
White,English,88,64,11833
Hispanic,English,73,37,11833
Asian,English,97,75,11833
All students,Science,92,53,11833
White,Science,95,74,11833
All students,Math,23,37,12339
Hispanic,Math,22,24,12339
All students,English,44,48,12339
Hispanic,English,42,37,12339
All students,Science,38,57,12339
Hispanic,Science,37,44,12339
All students,Math,30,37,7285
Hispanic,Math,24,24,7285
White,Math,53,53,7285
All students,English,41,48,7285
Hispanic,English,35,37,7285
White,English,60,64,7285
All students,Science,32,53,7285
Hispanic,Science,25,40,7285
White,Science,56,74,7285
All students,English,65,48,6184
White,English,74,64,6184
Hispanic,English,56,37,6184
Asian,English,74,75,6184
Black,English,36,31,6184
Two or more races,English,69,63,6184
Filipino,English,74,70,6184
All students,Math,56,37,6184
White,Math,66,53,6184
Hispanic,Math,40,24,6184
Asian,Math,74,72,6184
Black,Math,22,18,6184
Two or more races,Math,67,52,6184
Filipino,Math,58,57,6184
All students,Science,90,61,6184
White,Science,94,78,6184
Hispanic,Science,84,49,6184
Asian,Science,98,85,6184
Black,Science,83,43,6184
Two or more races,Science,89,75,6184
All students,English,37,48,31046
Hispanic,English,30,37,31046
White,English,48,64,31046
All students,Math,37,37,31046
Hispanic,Math,30,24,31046
White,Math,47,53,31046
All students,Science,42,53,31046
Hispanic,Science,34,40,31046
White,Science,59,74,31046
All students,English,55,48,16871
White,English,60,64,16871
Hispanic,English,43,37,16871
Two or more races,English,57,63,16871
All students,Math,43,37,16871
White,Math,46,53,16871
Hispanic,Math,33,24,16871
Two or more races,Math,30,52,16871
All students,Science,76,61,16871
White,Science,87,78,16871
Hispanic,Science,56,49,16871
All students,English,33,48,2825
Hispanic,English,32,37,2825
Black,English,20,31,2825
All students,Math,17,37,2825
Hispanic,Math,16,24,2825
Black,Math,7,18,2825
All students,Science,43,61,2825
Hispanic,Science,41,49,2825
All students,Math,74,37,6204
White,Math,76,53,6204
Asian,Math,90,72,6204
Hispanic,Math,63,24,6204
Two or more races,Math,73,52,6204
Black,Math,33,18,6204
Filipino,Math,73,57,6204
All students,English,78,48,6204
White,English,80,64,6204
Asian,English,92,75,6204
Hispanic,English,70,37,6204
Two or more races,English,75,63,6204
Black,English,33,31,6204
Filipino,English,87,70,6204
All students,Science,79,53,6204
White,Science,81,74,6204
Asian,Science,81,78,6204
Hispanic,Science,94,40,6204
Two or more races,Science,73,72,6204
All students,English,47,48,5899
Hispanic,English,40,37,5899
White,English,58,64,5899
Asian,English,69,75,5899
Filipino,English,55,70,5899
Two or more races,English,38,63,5899
All students,Math,37,37,5899
Hispanic,Math,26,24,5899
White,Math,49,53,5899
Asian,Math,85,72,5899
Filipino,Math,45,57,5899
Two or more races,Math,58,52,5899
All students,Science,74,53,5899
Hispanic,Science,66,40,5899
White,Science,88,74,5899
All students,English,73,48,5883
White,English,95,64,5883
Hispanic,English,47,37,5883
Two or more races,English,100,63,5883
All students,Math,64,37,5883
White,Math,88,53,5883
Hispanic,Math,38,24,5883
Two or more races,Math,93,52,5883
All students,Science,85,53,5883
White,Science,97,74,5883
Hispanic,Science,71,40,5883
All students,Math,36,37,5998
Hispanic,Math,27,24,5998
Filipino,Math,71,57,5998
Asian,Math,43,72,5998
Black,Math,9,18,5998
All students,English,51,48,5998
Hispanic,English,44,37,5998
Filipino,English,89,70,5998
Asian,English,53,75,5998
Black,English,36,31,5998
All students,Science,24,53,5998
Hispanic,Science,17,40,5998
All students,Math,63,37,5821
White,Math,65,53,5821
Hispanic,Math,58,24,5821
Asian,Math,64,72,5821
Two or more races,Math,78,52,5821
All students,English,68,48,5821
White,English,71,64,5821
Hispanic,English,64,37,5821
Asian,English,73,75,5821
Two or more races,English,72,63,5821
All students,Science,79,53,5821
White,Science,76,74,5821
Hispanic,Science,87,40,5821
All students,English,27,48,6019
Hispanic,English,23,37,6019
White,English,54,64,6019
All students,Math,25,37,6019
Hispanic,Math,20,24,6019
White,Math,62,53,6019
All students,Science,28,53,6019
Hispanic,Science,26,40,6019
All students,English,61,48,6772
White,English,62,64,6772
Hispanic,English,44,37,6772
Two or more races,English,82,63,6772
All students,Math,54,37,6772
White,Math,55,53,6772
Hispanic,Math,37,24,6772
Two or more races,Math,82,52,6772
All students,Science,71,53,6772
White,Science,81,74,6772
All students,Math,76,37,6274
White,Math,77,53,6274
Hispanic,Math,59,24,6274
Asian,Math,88,72,6274
All students,English,82,48,6274
White,English,84,64,6274
Hispanic,English,72,37,6274
Asian,English,82,75,6274
All students,Science,90,53,6274
White,Science,94,74,6274
All students,Math,82,37,6026
White,Math,81,53,6026
Asian,Math,94,72,6026
Hispanic,Math,65,24,6026
Two or more races,Math,91,52,6026
All students,English,84,48,6026
White,English,88,64,6026
Asian,English,91,75,6026
Hispanic,English,60,37,6026
Two or more races,English,82,63,6026
All students,Science,94,53,6026
White,Science,97,74,6026
Asian,Science,100,78,6026
All students,English,76,48,11835
White,English,83,64,11835
Hispanic,English,71,37,11835
Black,English,67,31,11835
Two or more races,English,76,63,11835
All students,Math,41,37,11835
White,Math,50,53,11835
Hispanic,Math,32,24,11835
Black,Math,33,18,11835
Two or more races,Math,38,52,11835
All students,Science,31,50,11835
White,Science,38,68,11835
Hispanic,Science,20,37,11835
Black,Science,27,32,11835
Two or more races,Science,40,66,11835
All students,English,75,48,6027
White,English,77,64,6027
Asian,English,84,75,6027
Hispanic,English,61,37,6027
Filipino,English,80,70,6027
Two or more races,English,76,63,6027
Black,English,51,31,6027
All students,Math,62,37,6027
White,Math,62,53,6027
Asian,Math,83,72,6027
Hispanic,Math,41,24,6027
Filipino,Math,60,57,6027
Two or more races,Math,63,52,6027
Black,Math,30,18,6027
All students,Science,90,61,6027
White,Science,93,78,6027
Asian,Science,92,85,6027
Hispanic,Science,80,49,6027
Filipino,Science,96,79,6027
Two or more races,Science,96,75,6027
All students,Math,67,37,6028
White,Math,68,53,6028
Asian,Math,86,72,6028
Hispanic,Math,41,24,6028
Filipino,Math,68,57,6028
Two or more races,Math,70,52,6028
Black,Math,38,18,6028
All students,English,76,48,6028
White,English,78,64,6028
Asian,English,88,75,6028
Hispanic,English,54,37,6028
Filipino,English,73,70,6028
Two or more races,English,79,63,6028
Black,English,43,31,6028
All students,Science,89,61,6028
White,Science,93,78,6028
Asian,Science,96,85,6028
Hispanic,Science,72,49,6028
Filipino,Science,89,79,6028
Two or more races,Science,82,75,6028
All students,Math,81,37,3813
Asian,Math,89,72,3813
White,Math,67,53,3813
Two or more races,Math,82,52,3813
Hispanic,Math,53,24,3813
All students,English,85,48,3813
Asian,English,89,75,3813
White,English,81,64,3813
Two or more races,English,87,63,3813
Hispanic,English,67,37,3813
All students,Science,91,53,3813
Asian,Science,91,78,3813
White,Science,91,74,3813
Two or more races,Science,100,72,3813
All students,Math,19,37,2743
Hispanic,Math,20,24,2743
Black,Math,14,18,2743
White,Math,24,53,2743
All students,English,26,48,2743
Hispanic,English,26,37,2743
Black,English,21,31,2743
White,English,38,64,2743
All students,Science,39,53,2743
Hispanic,Science,37,40,2743
Black,Science,33,36,2743
All students,Math,16,37,6556
Hispanic,Math,16,24,6556
Black,Math,7,18,6556
Asian,Math,25,72,6556
White,Math,17,53,6556
Filipino,Math,28,57,6556
Two or more races,Math,6,52,6556
All students,English,28,48,6556
Hispanic,English,21,37,6556
Black,English,16,31,6556
Asian,English,40,75,6556
White,English,39,64,6556
Filipino,English,50,70,6556
Two or more races,English,12,63,6556
All students,Science,34,53,6556
Hispanic,Science,28,40,6556
Black,Science,21,36,6556
Asian,Science,50,78,6556
All students,Math,44,37,4958
Hispanic,Math,44,24,4958
White,Math,46,53,4958
Black,Math,27,18,4958
Asian,Math,44,72,4958
All students,English,61,48,4958
Hispanic,English,62,37,4958
White,English,62,64,4958
Black,English,46,31,4958
Asian,English,56,75,4958
All students,Science,73,53,4958
Hispanic,Science,74,40,4958
White,Science,72,74,4958
All students,Science,47,50,656
White,Science,54,68,656
Hispanic,Science,38,37,656
Native American or Native Alaskan,Science,29,44,656
Asian,Science,58,76,656
All students,English,67,48,656
White,English,71,64,656
Hispanic,English,65,37,656
Native American or Native Alaskan,English,50,36,656
All students,Math,39,37,656
White,Math,42,53,656
Hispanic,Math,40,24,656
Native American or Native Alaskan,Math,25,25,656
All students,Math,82,37,24651
White,Math,86,53,24651
Asian,Math,95,72,24651
Hispanic,Math,59,24,24651
Two or more races,Math,73,52,24651
Filipino,Math,94,57,24651
All students,English,85,48,24651
White,English,89,64,24651
Asian,English,93,75,24651
Hispanic,English,69,37,24651
Two or more races,English,73,63,24651
Filipino,English,94,70,24651
All students,Science,94,53,24651
White,Science,95,74,24651
Asian,Science,100,78,24651
Hispanic,Science,86,40,24651
All students,Math,67,37,31818
White,Math,61,53,31818
Asian,Math,90,72,31818
Hispanic,Math,32,24,31818
Filipino,Math,60,57,31818
Two or more races,Math,76,52,31818
Black,Math,36,18,31818
All students,English,80,48,31818
White,English,79,64,31818
Asian,English,92,75,31818
Hispanic,English,54,37,31818
Filipino,English,73,70,31818
Two or more races,English,90,63,31818
Black,English,64,31,31818
All students,Science,79,53,31818
White,Science,73,74,31818
Asian,Science,86,78,31818
Filipino,Science,67,72,31818
All students,English,54,48,6148
White,English,67,64,6148
Hispanic,English,49,37,6148
Black,English,18,31,6148
Two or more races,English,59,63,6148
Asian,English,56,75,6148
All students,Math,41,37,6148
White,Math,57,53,6148
Hispanic,Math,29,24,6148
Black,Math,29,18,6148
Two or more races,Math,41,52,6148
Asian,Math,38,72,6148
All students,Science,61,53,6148
White,Science,75,74,6148
Hispanic,Science,50,40,6148
All students,Math,31,37,25134
White,Math,35,53,25134
Hispanic,Math,20,24,25134
Black,Math,17,18,25134
All students,English,51,48,25134
White,English,60,64,25134
Hispanic,English,35,37,25134
Black,English,50,31,25134
All students,Science,57,61,25134
White,Science,77,78,25134
Hispanic,Science,33,49,25134
All students,Math,53,37,6199
Hispanic,Math,38,24,6199
White,Math,73,53,6199
Black,Math,35,18,6199
All students,English,65,48,6199
Hispanic,English,55,37,6199
White,English,77,64,6199
Black,English,53,31,6199
All students,Science,77,53,6199
Hispanic,Science,69,40,6199
White,Science,89,74,6199
All students,English,55,48,5928
Hispanic,English,50,37,5928
White,English,70,64,5928
Black,English,48,31,5928
Two or more races,English,61,63,5928
Filipino,English,74,70,5928
All students,Math,33,37,5928
Hispanic,Math,27,24,5928
White,Math,46,53,5928
Black,Math,30,18,5928
Two or more races,Math,45,52,5928
Filipino,Math,39,57,5928
All students,Science,57,50,5928
Hispanic,Science,58,37,5928
White,Science,60,68,5928
Black,Science,44,32,5928
Two or more races,Science,56,66,5928
Filipino,Science,79,67,5928
All students,Math,26,37,5819
White,Math,30,53,5819
Hispanic,Math,21,24,5819
Black,Math,17,18,5819
Asian,Math,36,72,5819
Filipino,Math,50,57,5819
All students,English,42,48,5819
White,English,44,64,5819
Hispanic,English,37,37,5819
Black,English,35,31,5819
Asian,English,64,75,5819
Filipino,English,43,70,5819
All students,Science,72,61,5819
White,Science,64,78,5819
Hispanic,Science,77,49,5819
Black,Science,73,43,5819
All students,English,85,48,11107
White,English,90,64,11107
Hispanic,English,77,37,11107
All students,Math,77,37,11107
White,Math,83,53,11107
Hispanic,Math,62,24,11107
All students,Science,85,55,11107
White,Science,86,73,11107
All students,Math,81,37,7636
White,Math,75,53,7636
Asian,Math,93,72,7636
Hispanic,Math,72,24,7636
Two or more races,Math,82,52,7636
All students,English,87,48,7636
White,English,85,64,7636
Asian,English,88,75,7636
Hispanic,English,82,37,7636
Two or more races,English,100,63,7636
All students,Science,87,53,7636
White,Science,87,74,7636
Asian,Science,86,78,7636
All students,English,39,48,11126
Hispanic,English,29,37,11126
White,English,49,64,11126
Two or more races,English,56,63,11126
All students,Math,15,37,11126
Hispanic,Math,13,24,11126
White,Math,18,53,11126
Two or more races,Math,11,52,11126
All students,Science,30,55,11126
Hispanic,Science,17,43,11126
White,Science,38,73,11126
All students,Math,51,37,5886
White,Math,58,53,5886
Hispanic,Math,32,24,5886
All students,English,61,48,5886
White,English,65,64,5886
Hispanic,English,45,37,5886
All students,Science,60,53,5886
White,Science,63,74,5886
Hispanic,Science,40,40,5886
All students,Science,59,50,6224
White,Science,70,68,6224
Hispanic,Science,45,37,6224
Black,Science,47,32,6224
Two or more races,Science,79,66,6224
All students,English,62,48,6224
White,English,69,64,6224
Hispanic,English,54,37,6224
Black,English,31,31,6224
Two or more races,English,67,63,6224
All students,Math,39,37,6224
White,Math,51,53,6224
Hispanic,Math,24,24,6224
Black,Math,8,18,6224
Two or more races,Math,50,52,6224
All students,Math,20,37,1722
Hispanic,Math,18,24,1722
Asian,Math,48,72,1722
All students,English,35,48,1722
Hispanic,English,33,37,1722
Asian,English,60,75,1722
All students,Science,56,57,1722
Hispanic,Science,54,44,1722
Asian,Science,88,85,1722
All students,Math,29,37,6060
Hispanic,Math,25,24,6060
White,Math,47,53,6060
All students,English,31,48,6060
Hispanic,English,27,37,6060
White,English,47,64,6060
All students,Science,46,53,6060
Hispanic,Science,36,40,6060
White,Science,73,74,6060
All students,Math,41,37,5975
Hispanic,Math,33,24,5975
White,Math,43,53,5975
Two or more races,Math,50,52,5975
Black,Math,23,18,5975
Asian,Math,75,72,5975
All students,English,48,48,5975
Hispanic,English,44,37,5975
White,English,50,64,5975
Two or more races,English,46,63,5975
Black,English,37,31,5975
Asian,English,72,75,5975
All students,Science,56,53,5975
Hispanic,Science,38,40,5975
White,Science,65,74,5975
Asian,Science,64,78,5975
All students,Math,38,37,6237
Hispanic,Math,39,24,6237
Black,Math,25,18,6237
White,Math,36,53,6237
All students,English,56,48,6237
Hispanic,English,56,37,6237
Black,English,58,31,6237
White,English,73,64,6237
All students,Science,63,53,6237
Hispanic,Science,62,40,6237
All students,English,69,48,6240
White,English,81,64,6240
Hispanic,English,49,37,6240
Asian,English,74,75,6240
Two or more races,English,82,63,6240
Filipino,English,85,70,6240
Black,English,42,31,6240
All students,Math,64,37,6240
White,Math,76,53,6240
Hispanic,Math,41,24,6240
Asian,Math,77,72,6240
Two or more races,Math,79,52,6240
Filipino,Math,90,57,6240
Black,Math,31,18,6240
All students,Science,72,61,6240
White,Science,83,78,6240
Hispanic,Science,56,49,6240
Asian,Science,73,85,6240
Two or more races,Science,81,75,6240
Filipino,Science,93,79,6240
All students,Math,81,37,14490
White,Math,76,53,14490
Asian,Math,90,72,14490
Hispanic,Math,70,24,14490
Two or more races,Math,77,52,14490
Filipino,Math,96,57,14490
All students,English,80,48,14490
White,English,77,64,14490
Asian,English,86,75,14490
Hispanic,English,73,37,14490
Two or more races,English,62,63,14490
Filipino,English,92,70,14490
All students,Science,92,53,14490
White,Science,96,74,14490
Asian,Science,92,78,14490
Hispanic,Science,86,40,14490
All students,Math,16,37,6084
Hispanic,Math,15,24,6084
All students,English,28,48,6084
Hispanic,English,25,37,6084
All students,Science,19,53,6084
Hispanic,Science,18,40,6084
All students,Math,15,37,24726
Hispanic,Math,15,24,24726
Black,Math,22,18,24726
All students,English,30,48,24726
Hispanic,English,29,37,24726
Black,English,24,31,24726
All students,Science,49,61,24726
Hispanic,Science,50,49,24726
All students,Math,83,37,6245
White,Math,82,53,6245
Hispanic,Math,61,24,6245
Asian,Math,96,72,6245
Two or more races,Math,97,52,6245
All students,English,90,48,6245
White,English,88,64,6245
Hispanic,English,87,37,6245
Asian,English,96,75,6245
Two or more races,English,97,63,6245
All students,Science,90,53,6245
